text,label
Оставьте отзыв и помогите нам улучшить Duolingo English Test!,important
Лето жара офис: как собрать комфортный и стильный гардеро,not_important
Оповещение системы безопасности,important
Подходящие вакансии,important
GALYMIND RESEARCH PAPER COMPETITION,important
Избавляемся от страхов,not_important
Квитанция от Admissions,important
Мы обновляем наши Условия предоставления услуг и Политику конфиденциальности,not_important
Квитанция об оплате заказа,important
Ваши результаты отправлены ,important
МФТИ Центр развития ИТ-образования,not_important
Приглашаем на Ночь открытых дверей Высшей школы программной инженерии МФТИ,not_important
Добейтесь прогресса за 60 минут!, not_important
Your code is, important
A pause on exit permits—but not on hope, not_important
Не упустите шанс, not_important
Подтверждение почты, important
Это вам на отели и билеты, not_important
Ending soon: Get Grammarly Pro for 50% off, not_important
Ваш заказ доставлен, important
Лифт в космос и все-все-все, not_important
Не пропустите: полезные онлайн-события июля, not_important
открыт доступ к справочнику «Все СОПы», not_important
📅🕺Гид по выходным, not_important
Ваш пароль был восстановлен, important
registrations are open!, important
Лучшее в г. Алматы?, not_important
Подтверждение аккаунта, important
Платеж за подписку отклонен, important
You have been registered, important
Курс «Тренажер ЕНТ математика» ждёт вас!, not_important
Курс «Основы олимпиадного программирования» ждёт вас!, not_important
Don’t miss out on your last chance to enter the $2 million sweepstakes, not_important
Future-proof your skillset with 50% off Pro, not_important
Отборочный тур состоится, important
Последний шанс получить свою скидку!, not_important
Логин и пароль для Командного турнира по программированию, important
До закрытия набора на Летние школы Яндекса осталось 3 дня!, not_important
Выгодный движ! Промокод на 1000 рублей, not_important
Бәрі үйге! Жаппай сатылым / Всё в дом! Распродажа, not_important
День открытых дверей МФТИ, not_important
Get 50% off Codecademy Pro, not_important
Тіркелу / Регистрация, important
Мастер-класс по написанию вступительных эссе для вузов США, not_important
Сертификаты, important
Introducing Scheduling in Notion Calendar — simple and free, not_important
Верить в себя: как улучшить профессиональную самооценку, not_important
Many files were recently deleted from your OneDrive, important
Код подтверждения для аккаунта, important
Диплом мен жетекші алғыс хатының электронды нұсқасын жолдаймыз, important
We will send the electronic version of the diploma and the supervisor’s letter of appreciation, important
Мы отправим электронную версию диплома и благодарственного письма руководителя, important
Оплатите билеты по заказу, important
Пароли для Пробного тестирования ЕНТ, important
